date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,mes,año,resultado,oponente,partidos_previos,porcentaje_ganado
2013-08-14,Ecuador,Spain,0,2,Friendly,Guayaquil,Ecuador,False,8,2013,pierde,Spain,1,0.0
2013-09-06,Colombia,Ecuador,1,0,FIFA World Cup qualification,Barranquilla,Colombia,False,9,2013,pierde,Colombia,41,0.2926829268292683
2013-09-10,Bolivia,Ecuador,1,1,FIFA World Cup qualification,La Paz,Bolivia,False,9,2013,empata,Bolivia,26,0.4230769230769231
2013-10-11,Ecuador,Uruguay,1,0,FIFA World Cup qualification,Quito,Ecuador,False,10,2013,gana,Uruguay,42,0.09523809523809523
2013-10-15,Chile,Ecuador,2,1,FIFA World Cup qualification,Santiago,Chile,False,10,2013,pierde,Chile,45,0.2
2013-11-15,Argentina,Ecuador,0,0,Friendly,East Rutherford,United States,True,11,2013,empata,Argentina,30,0.13333333333333333
2013-11-19,Honduras,Ecuador,2,2,Friendly,Houston,United States,True,11,2013,empata,Honduras,10,0.3
2014-03-05,Australia,Ecuador,3,4,Friendly,London,England,True,3,2014,gana,Australia,0,0.5
2014-05-17,Netherlands,Ecuador,1,1,Friendly,Amsterdam,Netherlands,False,5,2014,empata,Netherlands,1,0.0
2014-05-31,Mexico,Ecuador,3,1,Friendly,Arlington,United States,True,5,2014,pierde,Mexico,19,0.10526315789473684
2014-06-04,Ecuador,England,2,2,Friendly,Miami Gardens,United States,True,6,2014,empata,England,2,0.0
2014-06-15,Switzerland,Ecuador,2,1,FIFA World Cup,Brasília,Brazil,True,6,2014,pierde,Switzerland,0,0.5
2014-06-20,Honduras,Ecuador,1,2,FIFA World Cup,Curitiba,Brazil,True,6,2014,gana,Honduras,11,0.2727272727272727
2014-06-25,Ecuador,France,0,0,FIFA World Cup,Rio de Janeiro,Brazil,True,6,2014,empata,France,1,0.0
2015-03-31,Argentina,Ecuador,2,1,Friendly,East Rutherford,United States,True,3,2015,pierde,Argentina,31,0.12903225806451613
2015-06-03,Panama,Ecuador,1,1,Friendly,Panama City,Panama,False,6,2015,empata,Panama,4,0.75
2015-06-06,Ecuador,Panama,4,0,Friendly,Portoviejo,Ecuador,False,6,2015,gana,Panama,5,0.6
2015-06-11,Chile,Ecuador,2,0,Copa América,Santiago,Chile,False,6,2015,pierde,Chile,46,0.1956521739130435
2015-06-15,Ecuador,Bolivia,2,3,Copa América,Valparaíso,Chile,True,6,2015,pierde,Bolivia,27,0.4074074074074074
2015-06-19,Mexico,Ecuador,1,2,Copa América,Rancagua,Chile,True,6,2015,gana,Mexico,20,0.1
2015-09-08,Ecuador,Honduras,2,0,Friendly,Quito,Ecuador,False,9,2015,gana,Honduras,12,0.3333333333333333
2015-10-08,Argentina,Ecuador,0,2,FIFA World Cup qualification,Buenos Aires,Argentina,False,10,2015,gana,Argentina,32,0.125
2015-10-13,Ecuador,Bolivia,2,0,FIFA World Cup qualification,Quito,Ecuador,False,10,2015,gana,Bolivia,28,0.39285714285714285
2015-11-12,Ecuador,Uruguay,2,1,FIFA World Cup qualification,Quito,Ecuador,False,11,2015,gana,Uruguay,43,0.11627906976744186
2015-11-17,Venezuela,Ecuador,1,3,FIFA World Cup qualification,Ciudad Guayana,Venezuela,False,11,2015,gana,Venezuela,23,0.5217391304347826
2016-03-24,Ecuador,Paraguay,2,2,FIFA World Cup qualification,Quito,Ecuador,False,3,2016,empata,Paraguay,36,0.3055555555555556
2016-03-29,Colombia,Ecuador,3,1,FIFA World Cup qualification,Barranquilla,Colombia,False,3,2016,pierde,Colombia,42,0.2857142857142857
2016-06-04,Brazil,Ecuador,0,0,Copa América,Pasadena,United States,True,6,2016,empata,Brazil,28,0.07142857142857142
2016-06-08,Ecuador,Peru,2,2,Copa América,Glendale,United States,True,6,2016,empata,Peru,44,0.3181818181818182
2016-06-12,Ecuador,Haiti,4,0,Copa América,East Rutherford,United States,True,6,2016,gana,Haiti,4,0.5
